STATE/UT,YEAR,Persons InCust./ Bail During Investigation At Beginning Of The Year,Persons Arrested During The Year,Persons Released By Police/Magistrate Before Trial,Persons In Custody/ Bail During Investigation At The End Of Year,Persons Chargesheeted,Persons Under Trial At The Beginning Of Year,Total Persons Under Trial,No. Of Persons Whose Cases Withdrawn Or Otherwise Disposed Of,Persons In Custody/ Bail During Trial At The End Of Year,Persons In Whose Cases Trial Completed,Persons Convicted,Persons Acquitted,Persons Reported For Regular Deptt. Action,Persons Reported For Suitable Action,Persons Punished Departmentally - Dismissed from Service,Persons Punished Departmentally - Removed from Service,Persons Punished Departmentally - Awarded Minor Punishment,Persons Punished Departmentally - Awarded Other Major Punishment,Gazetted Or Equal Status Officers In Public Sector Undertaking Involved - Group 'A' Officers,Gazetted Or Equal Status Officers In Public Sector Undertaking Involved - Group 'B' Officers,Non Gazetted or Equal Status Officers in Public Undertaking Involved,Private Persons Involved
Andhra Pradesh,2001,92,201,83,54,156,479,635,5,586,44,22,22,17,0,0,0,0,13,0,0,133,5
Andhra Pradesh,2002,154,384,384,209,255,586,841,2,749,90,47,45,43,2,2,0,1,5,126,0,253,5
Andhra Pradesh,2003,209,413,0,402,220,932,1152,4,1039,109,43,66,55,0,6,1,2,17,0,0,244,6
Andhra Pradesh,2004,402,240,0,443,199,1039,1238,0,1138,100,49,51,35,1,26,0,0,15,0,0,148,5
Andhra Pradesh,2005,443,300,0,498,245,1138,1383,2,1218,163,89,74,7,0,34,4,2,27,0,0,161,7
Andhra Pradesh,2006,498,285,0,533,250,1218,1468,2,1200,266,149,117,15,0,65,2,8,9,0,0,169,4
Andhra Pradesh,2007,533,292,0,629,196,1200,1396,7,1091,298,188,110,90,0,14,2,45,2,0,0,149,5
Andhra Pradesh,2008,629,362,0,830,161,1091,1252,5,1017,230,151,79,0,0,4,1,45,29,0,0,212,62
Andhra Pradesh,2009,830,323,0,895,258,1017,1275,3,1025,247,110,137,0,0,8,0,25,12,0,0,167,42
Andhra Pradesh,2010,895,245,0,873,267,1025,1292,28,1072,192,109,83,11,0,5,3,38,31,0,0,119,28
Andhra Pradesh,2011,873,271,0,826,318,1072,1390,12,1125,253,114,139,9,0,7,0,32,17,0,0,136,32
Andhra Pradesh,2012,826,276,0,935,167,1125,1292,17,1097,178,69,109,8,0,4,0,50,94,0,0,306,222
Arunachal Pradesh,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,0,3,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,1,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2011,0,1,1,1,18,0,19,0,1,0,0,0,0,0,0,0,0,0,7,4,1,11
Arunachal Pradesh,2012,6,3,0,4,5,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,27,3,0,5,25,27,52,1,50,1,0,1,0,0,0,0,0,0,0,8,17,0
Assam,2002,51,5,5,49,2,51,53,0,53,0,0,0,0,0,0,0,0,0,7,0,11,0
Assam,2003,53,0,0,43,10,53,63,0,63,0,0,0,0,0,0,0,0,0,25,4,26,0
Assam,2004,195,1,1,195,2,63,65,0,0,0,0,0,0,0,0,0,0,0,10,0,17,0
Assam,2005,222,0,0,221,1,65,66,0,65,1,1,0,0,0,0,0,0,0,0,2,10,0
Assam,2006,11,0,0,11,0,62,76,0,73,3,3,0,0,0,0,0,0,0,2,0,1,0
Assam,2007,11,0,0,11,2,76,78,0,76,3,3,1,0,0,0,0,0,0,0,0,1,0
Assam,2008,11,0,0,11,3,74,77,0,75,2,2,0,0,0,0,0,2,0,1,1,1,0
Assam,2009,11,0,0,11,4,75,79,0,79,3,1,2,0,0,0,0,0,0,2,2,2,0
Assam,2010,11,0,0,11,6,79,85,0,81,4,2,2,0,0,0,0,0,0,3,3,3,0
Assam,2011,11,1,12,12,1,85,86,2,11,5,3,2,0,0,0,0,0,0,1,0,0,0
Assam,2012,11,75,13,29,44,86,130,0,117,13,11,2,0,0,0,0,0,0,13,31,31,0
Bihar,2001,27,26,0,10,43,1097,1140,2,1128,10,8,2,1,0,0,0,0,0,8,17,35,23
Bihar,2002,10,24,0,12,22,1128,1160,14,1136,10,9,1,3,0,0,0,0,0,15,13,24,11
Bihar,2003,12,61,0,14,59,1136,1195,1,1136,6,3,2,0,0,0,0,0,0,15,18,24,52
Bihar,2004,14,81,0,12,83,1195,1278,0,0,11,10,1,0,0,0,0,0,0,45,25,39,37
Bihar,2005,12,64,0,16,60,0,0,2,0,5,3,0,0,0,0,0,0,0,5,28,18,29
Bihar,2006,16,129,0,13,132,0,0,1,0,1,1,0,0,0,0,0,0,0,32,71,108,48
