States/UTs,Crime Head,18-30,30-45,45-60,60+,Total
Andhra Pradesh,1 - Murder (Section 302 IPC),813,885,565,48,2311
Andhra Pradesh,2 - Attempt to commit Murder (Section 307 IPC),1213,963,464,22,2662
Andhra Pradesh,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),18,68,14,0,100
Andhra Pradesh,4 - Attempt to commit Culpable Homicide (Section 308 IPC),0,2,2,0,4
Andhra Pradesh,5 - Rape (Section 376 IPC),715,369,98,12,1194
Andhra Pradesh,5.1 - Custodial Rape,0,0,0,0,0
Andhra Pradesh,5.1.1 - Gang Rape,0,0,0,0,0
Andhra Pradesh,5.1.2 - Other Rape,0,0,0,0,0
Andhra Pradesh,5.2 - Rape other than Custodial,715,369,98,12,1194
Andhra Pradesh,5.2.1 - Gang Rape,15,4,1,0,20
Andhra Pradesh,5.2.2 - Other Rape,700,365,97,12,1174
Andhra Pradesh,6 - Attempt to commit Rape (Section 376/511 IPC),104,62,1,0,167
Andhra Pradesh,"7 - Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",820,514,134,2,1470
Andhra Pradesh,7.1 - Kidnapping & Abduction (Section 363 IPC),229,168,33,1,431
Andhra Pradesh,7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),7,2,0,0,9
Andhra Pradesh,7.3 - Kidnapping for Ransom (Section 364A IPC),7,5,0,0,12
Andhra Pradesh,7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),315,108,27,0,450
Andhra Pradesh,7.5 - Other Kidnapping,262,231,74,1,568
Andhra Pradesh,"8 - Dacoity (Section 395,396-398 IPC)",167,138,17,0,322
Andhra Pradesh,8.1 - Dacoity with Murder (Section 396 IPC),5,1,0,0,6
Andhra Pradesh,8.2 - Other Dacoity,162,137,17,0,316
Andhra Pradesh,9 - Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),0,8,0,0,8
Andhra Pradesh,"10 - Robbery (Section 392 to 394, 397 and 398 IPC)",399,178,51,0,628
Andhra Pradesh,11 - Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),3050,1779,455,38,5322
Andhra Pradesh,"11.1 - Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2304,1293,312,37,3946
Andhra Pradesh,"11.2 - House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",746,486,143,1,1376
Andhra Pradesh,12 - Theft (Section 379 to 382 IPC),7137,4642,1405,207,13391
Andhra Pradesh,12.1 - Auto Theft,2072,1176,396,14,3658
Andhra Pradesh,12.2 - Other Thefts,5065,3466,1009,193,9733
Andhra Pradesh,"13 - Unlawful Assembly (Section 143,144 & 145)",127,137,24,0,288
Andhra Pradesh,"14 - Riots (Section 147, 148, 149, 150 & 151 IPC)",3184,2627,988,69,6868
Andhra Pradesh,14.1 - Communal,123,44,19,0,186
Andhra Pradesh,14.2 - Industrial,0,31,0,0,31
Andhra Pradesh,14.3 - Political,775,796,409,8,1988
